Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
2014-10-28,,,,,,,,,,,,,,45,45,45,,,,,
2014-11-01,,,,,,,,,,,,,,,,,1800000,,,,
2019-08-12,61,272.463716506958,23732.5,61,61,,,,,6.39345359802246,6.39345359802246,6.39345359802246,,,,,3712000,,,,
2019-08-28,,1455.54417028716,,,,,,,,,,,,,,,,,,,
2019-08-29,,1465.74999915005,,,,,,,,,,,,,,,,,,,
2019-08-30,167,1936.5108356798,12161.208484555,132,132,43.7043719,12.9047789,43.9178662,13.2223084,2.22824722384705,19.4699993133545,0.316835969686508,8251,60,60,60,5160604,70563272,4351806,,
2019-08-31,301,2169.02211091215,18539.3448237345,205,169,43.7044092,12.9038644,43.9220331,13.2265181,2.26134333440007,10.7299995422363,0.137437045574188,22169,,,,4006173,65929878,8739095,745939,
2019-09-01,145,2322.21296749965,45920.4350697994,127,127,43.6344296,13.1997725,43.721521,13.3455395,2.21107282402587,16.0599994659424,0.0919545888900757,1309,,,,7821933,77290927,987685,,
2019-09-02,156,1901.60451809302,11293.9007167816,52,52,43.7044792,12.2350612,44.1484837,13.2153457,2.11494221053963,46,0.159275233745575,12416,,,,1210802,67394037,8101412,,
2019-09-03,85,1721.59125461356,7294.64816880226,31,31,43.7043623,13.1701059,43.7465681,13.2219788,2.00833676567498,28.8199996948242,0.119594909250736,4940,,,,1477503,74078662,3933832,,
2019-09-04,66,1620.92211452565,6691.58713006973,47,47,43.7043572,13.2021842,43.7221745,13.2164089,1.04363902072365,5.889235496521,0.0514654405415058,1701,,,,2992886,81786803,138452,,
2019-09-05,11,1497.82198000029,408.928867101669,1,1,,,,,0.536141314531703,16.1900005340576,0.272030413150787,1021,,,,,83268386,691675,,
2019-09-06,101,1734.01691985878,6067.81828188896,46,46,43.7149056,12.2350574,44.1483868,13.2172026,3.10759490124033,28.7700004577637,0.273967772722244,9081,,,,,69684066,5585514,,
2019-09-07,27,1546.6367590475,2930.44881433249,12,12,43.7130337,13.2027267,43.7223075,13.2159058,1.31096538299932,16.3199996948242,0.320276826620102,1701,,,,729959,79332543,961996,,
2019-09-08,110,1913.10550466931,28166.5553987026,91,91,43.6778857,13.1389486,43.726446,13.2477781,1.48217341403524,18.4699993133545,0,1683,,,,5501857,71083590,2656763,,
2019-09-09,75,1663.16756409769,4284.22222566605,44,44,43.7028358,13.2059583,43.7175982,13.2192747,0.77725928804377,4.67000007629395,0.293609231710434,4439,,,,1635553,81366975,2504437,,
2019-09-10,49,1532.77484539791,1534.28872540779,9,9,43.7116603,13.2023293,43.7227375,13.218009,1.18515585132043,2.43338918685913,0.540000021457672,3492,,,,,82455538,1427543,,
2019-09-11,30,1553.02490786049,2734.92642509937,12,12,43.7086549,13.2023056,43.7213092,13.2133672,0.582045622333167,5.79305362701416,0.302020519971848,1580,,,,648333,80424173,1187258,,
2019-09-12,76,1687.6938935963,6101.39891935958,59,59,43.7043998,13.2020978,43.7221736,13.219048,0.764334036581553,12,0.0140564953908324,3455,,,,2620384,80703383,1977754,,
2019-09-13,194,2592.72648301325,61431.8687088715,178,178,43.6517951,13.0979398,43.7264429,13.23609,1.30204314578645,17.0699996948242,0.108115524053574,1313,,,,10896679,73078304,1020347,,
2019-09-14,161,1920.07719981767,8570.52291539085,63,63,43.7106398,12.2433039,44.1454193,13.222731,2.32800356270327,23.9699993133545,0.24896065890789,12296,,,,1159052,63448244,8555784,,
2019-09-15,18,1516.70048446456,2220.17975745722,12,12,43.7043599,13.20946,43.7173056,13.2158015,1.03185043564362,4.75347328186035,0.22561901807785,1003,,,,607017,84820948,448162,,
2019-09-16,22,1642.96474973755,3718.41884350777,15,15,43.6986684,13.2188327,43.7065647,13.2429449,3.88206140554267,18.0400009155273,0.036583200097084,780,,,,980290,80693738,2746316,,
2019-09-17,40,1528.8807606427,896.036468505859,4,4,43.7120376,13.2180106,43.7137514,13.21992,0.967618336901477,16.1200008392334,0.322414070367813,2665,,,,,82251644,1361498,,
2019-09-18,47,1585.49189926264,2909.73492257856,32,32,44.1446256,12.234676,44.1483443,12.2496096,1.13969301918514,19.0900001525879,0.0806383490562439,4603,,,,,72381378,2582392,,
2019-09-19,72,1870.10817833854,12612.7673207521,45,45,43.6172054,12.2348997,44.1480031,13.2243704,3.45664962534734,43.3899993896484,0.283185422420502,5709,,,,719171,69764096,5916800,,
2019-09-20,144,1842.98740138725,9841.99043014646,63,63,43.712582,12.235762,44.1473386,13.2214911,2.22481625502313,43.3199996948242,0.288874447345734,12433,,,,599079,66207964,7493474,,
2019-09-21,98,1740.98715961241,7552.1654497385,32,32,43.7043368,13.2053124,43.7211906,13.2196831,0.922346929589653,5.04211378097534,0.0802305489778519,4772,,,,1863248,77481411,3938655,,
2019-09-22,35,1560.50923803877,2590.28065356705,15,15,43.7050938,13.2084331,43.7181487,13.2159816,1.30016623403371,23.7837753295898,0.307636260986328,1832,,,,981774,81430705,991258,,
2019-09-23,61,1649.15618843014,3762.1160312891,33,33,44.1440271,12.2353255,44.1479337,12.2484789,0.613021385787058,2.98171210289001,0.282734811306,5785,,,,,73364527,3955395,,
2019-09-24,68,1822.38027166659,18971.7450654507,42,42,43.651846,13.0979242,43.7264971,13.2162959,2.14215108823576,17.1527500152588,0.0796701610088348,2010,,,,2623681,77372840,3045659,,
2019-09-25,52,1604.54681507365,2950.5059453845,28,28,44.1448599,12.2359988,44.1476985,12.2485427,1.41577493652102,15.8792934417725,0.326232463121414,4862,,,,,69715671,2993337,,
2019-09-26,88,1692.34463440394,4841.16341244103,38,38,44.1430399,12.23523,44.1480829,12.2496026,4.87059875619425,43.0200004577637,0.000349534791894257,7825,,,,,71202671,4882122,,
2019-09-27,56,1606.72386228379,3007.49590873718,28,28,44.1440318,12.2374208,44.1462531,12.2483914,0.790696644398839,1.485480427742,0.324509739875793,5149,,,,,73557122,3040286,,
2019-09-28,129,1783.09805637739,6522.52047556639,52,52,43.7112797,12.2494678,44.1471238,13.220816,0.987958265630903,3.25314736366272,0.238673314452171,9319,,,,1141994,69933473,5619937,,
2019-09-29,111,1765.81070141825,8022.10020321608,38,38,43.7059066,13.1933841,43.7299594,13.2168779,0.772031093627974,4.27117109298706,0.276068180799484,8906,,,,790768,77695638,5623588,,
2019-09-30,111,1747.30005024062,6806.71434628964,45,45,44.1439788,12.2394605,44.1495215,12.2554394,0.872982743147471,3.57524490356445,0.250283062458038,8349,,,,1252987,73623738,4728935,,
2019-10-01,109,1765.38911397548,4751.68716903776,24,24,44.1452182,12.2490969,44.1495414,12.2556127,0.696545744238059,1.77974605560303,0.307358205318451,8973,,,,,78415667,6462110,,
2019-10-02,194,1998.94053841687,10931.3249790967,93,93,44.1356021,12.2355407,44.1492262,12.2554855,0.744516242676878,3.45764684677124,0.255961686372757,12692,,,,3099835,73872105,8169550,,
2019-10-03,136,1816.21525366915,6920.05283725262,60,60,44.1351481,12.2356084,44.1487499,12.2555411,0.999071040598251,5.268639087677,0.264192491769791,9321,,,,1389939,76477520,6066432,,
2019-10-04,72,1638.17005195854,4798.90825390816,31,31,44.1369762,12.2358554,44.1485013,12.2534206,1.45229312389275,3.5759642124176,0.325274884700775,4255,,,,1162143,76962195,2472777,,
